PDB_1	PDB_2	Len_PDB_1	Len_PDB_2	Coverage	RMSD	I(A)	NULL(S)	NULL(T)	I(TgSA)	NULL(T)-I(TgSA)	NULL(S & T)	I(A & <S,T>)	Compression
ORF2-class02-N	pdb7y7q_A_bioassembly	951	239	0	0.000	37.949	33404.022	8423.760	8423.760	0.000	41827.781	41872.739	-44.958
ORF2-class02-N	ORF2-class07-RT	420	239	0	0.000	36.437	14618.962	8423.760	8423.760	0.000	23042.722	23086.168	-43.446
ORF2-class02-N	ORF2-class08-C	239	214	0	0.000	35.144	8423.760	7409.036	7409.036	0.000	15832.795	15874.948	-42.153
ORF2-class02-N	pdb1mu2_A_bioassembly	538	239	52	3.276	111.824	18884.990	8423.760	8296.078	127.682	27308.750	27283.717	25.033
ORF2-class02-N	ORF2-class12-tower	239	201	0	0.000	35.021	8423.760	7002.022	7002.022	0.000	15425.782	15467.812	-42.030
ORF2-class02-N	ORF2-class04-thumb	239	84	41	3.530	88.916	8423.760	2883.231	2771.809	111.421	11306.990	11276.852	30.138
ORF2-class02-N	ORF2-class01-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class09-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class13-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class02-C	239	214	0	0.000	35.144	8423.760	7429.831	7429.831	0.000	15853.591	15895.744	-42.153
ORF2-class02-N	ORF2-class07-full	1275	239	237	1.541	54.713	44624.991	8423.760	7599.938	823.821	53048.751	52268.889	779.862
ORF2-class02-N	ORF2-class15-tower	239	201	0	0.000	35.021	8423.760	7035.759	7035.759	0.000	15459.519	15501.549	-42.030
ORF2-class02-N	pdb7om7_A_bioassembly	628	239	0	0.000	37.188	21948.793	8423.760	8423.760	0.000	30372.553	30416.749	-44.197
ORF2-class02-N	ORF2-class08-full	1275	239	236	1.504	45.206	44655.046	8423.760	7588.263	835.497	53078.806	52277.761	801.045
ORF2-class02-N	ORF2-class12-wrist	239	201	0	0.000	35.021	8423.760	7069.895	7069.895	0.000	15493.655	15535.685	-42.030
ORF2-class02-N	ORF2-class14-wrist	239	201	0	0.000	35.021	8423.760	7051.683	7051.683	0.000	15475.442	15517.473	-42.030
ORF2-class02-N	ORF2-class07-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class03-RT	420	239	0	0.000	36.437	14599.069	8423.760	8423.760	0.000	23022.828	23066.274	-43.446
ORF2-class02-N	pdb3uo7_A_bioassembly	239	181	31	3.793	78.270	8423.760	6373.707	6290.610	83.097	14797.467	14785.006	12.461
ORF2-class02-N	ORF2-class13-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class14-tower	239	201	0	0.000	35.021	8423.760	6993.597	6993.597	0.000	15417.357	15459.387	-42.030
ORF2-class02-N	ORF2-class16-tower	239	201	0	0.000	35.021	8423.760	7046.079	7046.079	0.000	15469.838	15511.869	-42.030
ORF2-class02-N	ORF2-class19-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class14-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class10-N	239	239	239	1.597	25.096	8423.921	8423.760	7624.154	799.606	16847.681	16065.538	782.143
ORF2-class02-N	ORF2-class05-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class12-full	1275	239	236	1.862	45.206	44593.859	8423.760	7650.979	772.781	53017.619	52279.291	738.329
ORF2-class02-N	ORF2-class04-N	239	239	238	1.297	35.846	8430.830	8423.760	7577.727	846.033	16854.590	16036.769	817.820
ORF2-class02-N	ORF2-class16-RT	420	239	0	0.000	36.437	14627.921	8423.760	8423.760	0.000	23051.681	23095.127	-43.446
ORF2-class02-N	pdb7uin_D_bioassembly	387	239	27	3.550	68.514	13419.629	8423.760	8352.961	70.799	21843.389	21832.547	10.841
ORF2-class02-N	ORF2-class15-full	1275	239	238	1.588	42.969	44621.153	8423.760	7593.681	830.079	53044.913	52247.050	797.863
ORF2-class02-N	ORF2-class20-tower	239	201	0	0.000	35.021	8423.760	7030.663	7030.663	0.000	15454.423	15496.453	-42.030
ORF2-class02-N	pdb7o0g_A_bioassembly	733	239	58	3.208	115.010	25706.269	8423.760	8280.212	143.547	34130.029	34091.744	38.285
ORF2-class02-N	ORF2-crystal-wrist	239	182	21	2.025	61.691	8423.760	6359.311	6290.406	68.905	14783.071	14768.224	14.847
ORF2-class02-N	ORF2-N	239	239	237	1.348	29.579	8423.760	8403.687	7652.120	751.567	16827.447	16097.826	729.621
ORF2-class02-N	ORF2-class07-C	239	214	0	0.000	35.144	8423.760	7402.507	7402.507	0.000	15826.267	15868.420	-42.153
ORF2-class02-N	ORF2-class18-C	239	214	0	0.000	35.144	8423.760	7414.137	7414.137	0.000	15837.896	15880.049	-42.153
ORF2-class02-N	ORF2-class18-thumb	239	84	41	3.530	88.916	8423.760	2906.426	2795.005	111.421	11330.186	11300.048	30.138
ORF2-class02-N	ORF2-class08-RT	420	239	0	0.000	36.437	14610.292	8423.760	8423.760	0.000	23034.051	23077.497	-43.446
ORF2-class02-N	ORF2-class17-N	239	239	239	1.526	25.096	8433.993	8423.760	7708.471	715.288	16857.752	16159.927	697.825
ORF2-class02-N	ORF2-class02-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class07-N	239	239	237	1.541	38.844	8436.945	8423.760	7599.938	823.821	16860.704	16068.094	792.611
ORF2-class02-N	ORF2-class03-wrist	239	201	0	0.000	35.021	8423.760	7072.663	7072.663	0.000	15496.423	15538.453	-42.030
ORF2-class02-N	ORF2-class20-RT	420	239	0	0.000	36.437	14623.604	8423.760	8423.760	0.000	23047.364	23090.810	-43.446
ORF2-class02-N	ORF2-class13-full	1275	239	236	1.836	45.206	44581.521	8423.760	7619.106	804.654	53005.280	52235.079	770.202
ORF2-class02-N	ORF2-class09-wrist	239	201	0	0.000	35.021	8423.760	7098.816	7098.816	0.000	15522.576	15564.606	-42.030
ORF2-class02-N	ORF2-class01-thumb	239	84	41	3.530	88.916	8423.760	2888.335	2776.914	111.421	11312.094	11281.957	30.138
ORF2-class02-N	ORF2-class05-tower	239	201	0	0.000	35.021	8423.760	7072.231	7072.231	0.000	15495.991	15538.021	-42.030
ORF2-class02-N	ORF2-class14-thumb	239	84	41	3.530	88.916	8423.760	2886.528	2775.107	111.421	11310.288	11280.150	30.138
ORF2-class02-N	pdb1aoi_A,B,C,D_bioassembly	395	239	0	0.000	36.321	13793.615	8423.760	8423.760	0.000	22217.374	22260.705	-43.330
ORF2-class02-N	pdb6ar1_A_bioassembly	417	239	0	0.000	36.423	14535.519	8423.760	8423.760	0.000	22959.279	23002.711	-43.433
ORF2-class02-N	ORF2-class19-wrist	239	201	0	0.000	35.021	8423.760	7055.243	7055.243	0.000	15479.003	15521.033	-42.030
ORF2-class02-N	pdb7ksf_A_bioassembly	742	239	15	2.586	65.212	26151.340	8423.760	8364.149	59.611	34575.099	34570.931	4.168
ORF2-class02-N	ORF2-class01-wrist	239	201	0	0.000	35.021	8423.760	7061.694	7061.694	0.000	15485.453	15527.484	-42.030
ORF2-class02-N	ORF2-class16-wrist	239	201	10	0.905	59.124	8423.760	7074.312	7017.711	56.601	15498.072	15492.961	5.110
ORF2-class02-N	ORF2-class10-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class16-full	1275	239	235	1.544	58.055	44704.826	8423.760	7663.730	760.030	53128.586	52415.858	712.728
ORF2-class02-N	pdb7pks-bundle1_full	12927	239	0	0.000	42.518	453130.097	8423.760	8423.760	0.000	461553.857	461603.384	-49.527
ORF2-class02-N	ORF2-class05-thumb	239	84	41	3.530	88.916	8423.760	2890.926	2779.505	111.421	11314.686	11284.548	30.138
ORF2-class02-N	ORF2-class18-N	239	239	237	1.640	29.092	8430.142	8423.760	7617.490	806.270	16853.901	16069.090	784.811
ORF2-class02-N	pdb6qct_A,B,C_bioassembly	2186	239	0	0.000	39.442	76820.278	8423.760	8423.760	0.000	85244.038	85290.489	-46.451
ORF2-class02-N	ORF2-class03-C	239	214	0	0.000	35.144	8423.760	7411.825	7411.825	0.000	15835.585	15877.738	-42.153
ORF2-class02-N	ORF2-class19-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class10-thumb	239	84	23	2.853	57.594	8423.760	2908.770	2822.995	85.775	11332.530	11296.716	35.814
ORF2-class02-N	ORF2-class14-C	239	214	0	0.000	35.144	8423.760	7410.671	7410.671	0.000	15834.430	15876.583	-42.153
ORF2-class02-N	ORF2-class08-wrist	239	201	0	0.000	35.021	8423.760	7088.388	7088.388	0.000	15512.147	15554.177	-42.030
ORF2-class02-N	ORF2-class06-C	239	214	0	0.000	35.144	8423.760	7414.184	7414.184	0.000	15837.943	15880.096	-42.153
ORF2-class02-N	ORF2-class03-tower	239	201	0	0.000	35.021	8423.760	7012.994	7012.994	0.000	15436.753	15478.784	-42.030
ORF2-class02-N	ORF2-class09-RT	420	239	0	0.000	36.437	14600.474	8423.760	8423.760	0.000	23024.234	23067.680	-43.446
ORF2-class02-N	ORF2-class19-C	239	214	0	0.000	35.144	8423.760	7409.247	7409.247	0.000	15833.006	15875.159	-42.153
ORF2-class02-N	ORF2-class10-full	1275	239	239	1.597	40.966	44620.196	8423.760	7624.154	799.606	53043.955	52274.561	769.394
ORF2-class02-N	ORF2-class10-C	239	214	0	0.000	35.144	8423.760	7410.500	7410.500	0.000	15834.259	15876.412	-42.153
ORF2-class02-N	ORF2-class11-N	239	239	234	1.537	45.050	8417.778	8423.760	7599.866	823.894	16841.538	16055.061	786.477
ORF2-class02-N	ORF2-class02-tower	239	201	0	0.000	35.021	8423.760	7044.950	7044.950	0.000	15468.710	15510.740	-42.030
ORF2-class02-N	pdb4mh8_A_bioassembly	453	239	31	2.530	81.376	15980.341	8423.760	8328.994	94.766	24404.100	24381.858	22.242
ORF2-class02-N	ORF2-class02-wrist	239	201	0	0.000	35.021	8423.760	7061.694	7061.694	0.000	15485.453	15527.484	-42.030
ORF2-class02-N	ORF2-class10-tower	239	201	0	0.000	35.021	8423.760	7011.342	7011.342	0.000	15435.102	15477.132	-42.030
ORF2-class02-N	pdb4u1c_A,B_bioassembly	271	239	0	0.000	35.602	9435.257	8423.760	8423.760	0.000	17859.017	17901.628	-42.611
ORF2-class02-N	ORF2-class09-N	239	239	237	1.544	29.591	8434.182	8423.760	7584.984	838.776	16857.942	16041.123	816.818
ORF2-class02-N	ORF2-class20-C	239	214	0	0.000	35.144	8423.760	7418.366	7418.366	0.000	15842.125	15884.278	-42.153
ORF2-class02-N	ORF2-class19-N	239	239	237	0.862	29.092	8427.525	8423.760	7693.811	729.948	16851.284	16142.795	708.489
ORF2-class02-N	ORF2-class12-N	239	239	236	1.862	31.582	8433.231	8423.760	7650.979	772.781	16856.991	16108.159	748.831
ORF2-class02-N	ORF2-class09-C	239	214	0	0.000	35.144	8423.760	7417.784	7417.784	0.000	15841.544	15883.697	-42.153
ORF2-class02-N	ORF2-class01-tower	239	201	0	0.000	35.021	8423.760	7044.950	7044.950	0.000	15468.710	15510.740	-42.030
ORF2-class02-N	ORF2-class17-C	239	214	0	0.000	35.144	8423.760	7411.350	7411.350	0.000	15835.110	15877.263	-42.153
ORF2-class02-N	ORF2-class02-RT	420	239	0	0.000	36.437	14604.173	8423.760	8423.760	0.000	23027.932	23071.378	-43.446
ORF2-class02-N	ORF2-class05-wrist	239	201	40	4.356	98.894	8423.760	7063.668	6953.227	110.441	15487.428	15468.248	19.180
ORF2-class02-N	ORF2-class12-C	239	214	0	0.000	35.144	8423.760	7405.187	7405.187	0.000	15828.947	15871.100	-42.153
ORF2-class02-N	ORF2-class11-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class07-thumb	239	84	41	3.530	88.916	8423.760	2903.124	2791.703	111.421	11326.884	11296.746	30.138
ORF2-class02-N	ORF2-class12-thumb	239	84	41	3.530	88.916	8423.760	2880.890	2769.469	111.421	11304.649	11274.511	30.138
ORF2-class02-N	pdb7v9u_A_bioassembly	309	239	0	0.000	35.854	10816.655	8423.760	8423.760	0.000	19240.415	19283.278	-42.863
ORF2-class02-N	ORF2-class01-N	239	239	239	0.000	25.096	8423.760	8423.760	7273.375	1150.385	16847.519	15714.598	1132.921
ORF2-class02-N	ORF2-class20-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	pdb4hkq_A_bioassembly	441	239	32	3.498	73.699	15688.746	8423.760	8337.398	86.361	24112.506	24091.041	21.465
ORF2-class02-N	ORF2-class06-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class04-tower	239	201	0	0.000	35.021	8423.760	7012.994	7012.994	0.000	15436.753	15478.784	-42.030
ORF2-class02-N	ORF2-class07-wrist	239	201	11	0.980	59.127	8423.760	7055.154	6998.477	56.677	15478.914	15473.731	5.183
ORF2-class02-N	ORF2-class06-RT	420	239	0	0.000	36.437	14612.702	8423.760	8423.760	0.000	23036.462	23079.908	-43.446
ORF2-class02-N	pdb7yer_A,B,C,D_bioassembly	1743	239	0	0.000	39.040	60915.743	8423.760	8423.760	0.000	69339.503	69385.552	-46.049
ORF2-class02-N	ORF2-class16-thumb	239	84	24	3.461	62.542	8423.760	2912.083	2826.761	85.322	11335.843	11305.429	30.414
ORF2-class02-N	pdb2e9r_X_bioassembly	476	239	0	0.000	36.672	16908.909	8423.760	8423.760	0.000	25332.669	25376.350	-43.681
ORF2-class02-N	ORF2-class16-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class09-full	1275	239	237	1.544	45.460	44630.875	8423.760	7584.984	838.776	53054.634	52250.565	804.070
ORF2-class02-N	pdb1bgw_A_bioassembly	679	239	21	3.233	63.384	24026.488	8423.760	8364.492	59.268	32450.248	32444.757	5.490
ORF2-class02-N	ORF2-C	239	214	0	0.000	35.144	8423.760	7394.489	7394.489	0.000	15818.249	15860.402	-42.153
ORF2-class02-N	ORF2-class14-N	239	239	236	1.023	40.316	8433.539	8423.760	7679.368	744.392	16857.298	16145.589	711.709
ORF2-class02-N	ORF2-class04-C	239	214	0	0.000	35.144	8423.760	7411.825	7411.825	0.000	15835.585	15877.738	-42.153
ORF2-class02-N	ORF2-class20-N	239	239	236	1.502	40.066	8436.414	8423.760	7609.109	814.651	16860.174	16077.957	782.217
ORF2-class02-N	ORF2-class05-C	239	214	0	0.000	35.144	8423.760	7404.174	7404.174	0.000	15827.934	15870.087	-42.153
ORF2-class02-N	ORF2-class03-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class03-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class13-C	239	214	0	0.000	35.144	8423.760	7409.747	7409.747	0.000	15833.507	15875.660	-42.153
ORF2-class02-N	ORF2-class17-thumb	239	84	27	3.100	57.215	8423.760	2913.424	2820.316	93.109	11337.184	11293.658	43.526
ORF2-class02-N	ORF2-class10-wrist	239	201	0	0.000	35.021	8423.760	7075.239	7075.239	0.000	15498.998	15541.029	-42.030
ORF2-class02-N	ORF2-class18-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	pdb7sr6_A_bioassembly	566	239	62	4.535	119.447	19896.180	8423.760	8289.756	134.004	28319.940	28296.113	23.827
ORF2-class02-N	ORF2-class15-C	239	214	0	0.000	35.144	8423.760	7417.664	7417.664	0.000	15841.424	15883.577	-42.153
ORF2-class02-N	ORF2-class13-tower	239	201	0	0.000	35.021	8423.760	7005.336	7005.336	0.000	15429.095	15471.125	-42.030
ORF2-class02-N	ORF2-class12-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class08-N	239	239	238	1.508	27.100	8432.275	8423.760	7592.119	831.641	16856.035	16043.861	812.174
ORF2-class02-N	ORF2-class13-N	239	239	238	1.841	27.100	8432.558	8423.760	7623.356	800.403	16856.317	16075.381	780.936
ORF2-class02-N	pdb6tz2_A,B_bioassembly	1709	239	0	0.000	39.004	60148.299	8423.760	8423.760	0.000	68572.058	68618.072	-46.014
ORF2-class02-N	ORF2-class19-tower	239	201	0	0.000	35.021	8423.760	7038.035	7038.035	0.000	15461.795	15503.825	-42.030
ORF2-class02-N	ORF2-class05-N	239	239	238	1.587	27.100	8433.349	8423.760	7597.787	825.973	16857.109	16050.603	806.506
ORF2-class02-N	ORF2-class10-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	pdb7kqn_A_bioassembly	596	239	31	2.236	88.220	20782.457	8423.760	8334.306	89.454	29206.217	29195.618	10.599
ORF2-class02-N	pdb7mez_A,B_bioassembly	1536	239	0	0.000	38.814	53841.285	8423.760	8423.760	0.000	62265.045	62310.868	-45.823
ORF2-class02-N	ORF2-class12-RT	420	239	0	0.000	36.437	14596.728	8423.760	8423.760	0.000	23020.487	23063.933	-43.446
ORF2-class02-N	ORF2-class19-full	1275	239	236	0.860	45.206	44595.580	8423.760	7691.438	732.322	53019.340	52321.470	697.870
ORF2-class02-N	ORF2-class01-RT	420	239	0	0.000	36.437	14604.173	8423.760	8423.760	0.000	23027.932	23071.378	-43.446
ORF2-class02-N	ORF2-class11-thumb	239	84	41	3.530	88.916	8423.760	2901.222	2789.801	111.421	11324.982	11294.844	30.138
ORF2-class02-N	ORF2-class20-wrist	239	201	36	3.304	100.071	8423.760	7068.299	6975.071	93.227	15492.058	15491.269	0.789
ORF2-class02-N	ORF2-class11-RT	420	239	0	0.000	36.437	14617.060	8423.760	8423.760	0.000	23040.820	23084.266	-43.446
ORF2-class02-N	ORF2-class13-thumb	239	84	41	3.530	88.916	8423.760	2880.466	2769.045	111.421	11304.226	11274.088	30.138
ORF2-class02-N	ORF2-class07-tower	239	201	0	0.000	35.021	8423.760	7038.804	7038.804	0.000	15462.564	15504.594	-42.030
ORF2-class02-N	ORF2-class15-thumb	239	84	41	3.530	88.916	8423.760	2883.521	2772.100	111.421	11307.281	11277.143	30.138
ORF2-class02-N	ORF2-class11-wrist	239	201	0	0.000	35.021	8423.760	7070.028	7070.028	0.000	15493.787	15535.818	-42.030
ORF2-class02-N	ORF2-class17-tower	239	201	0	0.000	35.021	8423.760	7042.089	7042.089	0.000	15465.848	15507.879	-42.030
ORF2-class02-N	ORF2-class08-tower	239	201	0	0.000	35.021	8423.760	7033.134	7033.134	0.000	15456.893	15498.923	-42.030
ORF2-class02-N	pdb1h4s_A_bioassembly	473	239	41	3.318	92.957	16623.739	8423.760	8325.105	98.655	25047.498	25032.866	14.632
ORF2-class02-N	ORF2-class12-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-class17-wrist	239	201	0	0.000	35.021	8423.760	7084.026	7084.026	0.000	15507.785	15549.816	-42.030
ORF2-class02-N	pdb4pqu_B_bioassembly	412	239	28	2.790	85.187	14449.584	8423.760	8331.418	92.342	22873.343	22857.514	15.829
ORF2-class02-N	ORF2-class06-wrist	239	201	0	0.000	35.021	8423.760	7080.893	7080.893	0.000	15504.653	15546.683	-42.030
ORF2-class02-N	pdb4k50_A_bioassembly	460	239	35	4.330	95.023	16165.198	8423.760	8331.824	91.935	24588.958	24583.164	5.794
ORF2-class02-N	ORF2-class11-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class04-wrist	239	201	0	0.000	35.021	8423.760	7072.663	7072.663	0.000	15496.423	15538.453	-42.030
ORF2-class02-N	ORF2-class01-full	1275	239	239	0.000	40.966	44648.019	8423.760	7273.375	1150.385	53071.779	51951.606	1120.173
ORF2-class02-N	pdb7r06_A_bioassembly	597	239	25	2.987	69.802	20796.948	8423.760	8346.497	77.263	29220.708	29203.879	16.829
ORF2-class02-N	ORF2-class02-full	1275	239	239	0.000	40.966	44648.019	8423.760	7273.375	1150.385	53071.779	51951.606	1120.173
ORF2-class02-N	ORF2-class01-C	239	214	0	0.000	35.144	8423.760	7429.831	7429.831	0.000	15853.591	15895.744	-42.153
